ID	SerialID	SeasonNumber	EpisodeNumber	OriginalName	RussianName	DateOfIssue
256	1	12	1	The Conjugal Configuration	Семейные настройки	24.09.2018
257	1	12	2	The Wedding Gift Wormhole	Червоточина на свадьбу	27.09.2018
258	1	12	3	The Procreation Calculation	Планирование семьи	04.10.2018
259	1	12	4	The Tam Turbulence	Ложная турбулентность	11.10.2018
260	1	12	5	The Planetarium Collision	Планетарные столкновения	18.10.2018
