Id	tvdbId	imdbId	seriesId	nameEn	nameRu	status	firstAired	network	seazons	lastEpisode	rating	lastShow	airedEpisodeNumber	episodeName
48	328687	tt6111130	203707	S.W.A.T. (2017)	Спецназ города ангелов	Continuing	11/2/2017	CBS	2	29	7.4	TBD	TBD	TBD
49	75978	tt0182576	348	Family Guy	Гриффины	Continuing	1/31/1999	FOX (US)	17	345	8.6	TBD	TBD	TBD
50	332028	tt7509270	999999	I Love You, America	Я люблю тебя, Америка	Continuing	10/12/2017	Hulu	1	19	7	TBD	TBD	TBD
51	351535		999999	House Arrest (2018)	Домашний арест	Continuing		ТНТ	1	12	0	TBD	TBD	TBD
52	289514		999999	Major (2014)	Мажор	Continuing	12/15/2014	Первый канал	2	24	8.8	TBD	TBD	TBD
53	350112	tt6840106	999999	Sparta	Sпарта	Continuing		Первый канал	1	8	0	TBD	TBD	TBD
54	82696	tt1124373	75303	Sons of Anarchy	Сыны анархии	Ended	9/3/2008	FX (US)	7	106	8.9	12/9/2014	13	Papa's Goods
55	262407	tt2375692	176817	Black Sails	Черные паруса	Ended	1/25/2014	Starz!	4	40	8.6	4/2/2017	10	XXXVIII
56	75299	tt0141842	314	The Sopranos	Клан Сопрано	Ended	1/10/1999	HBO	6	91	9.2	6/10/2007	21	Сделано в Америке
57	286970	tt4032214	999999	Chernobyl. Exclusion zone	Чернобыль, зона отчуждения	Continuing	10/13/2014	ТНТ	2	21	10	TBD	TBD	TBD
58	309235		999999	Policeman from Rublevka	Полицейский с рублевки	Continuing	3/21/2016	ТНТ	3	24	8	TBD	TBD	TBD
59	293372		999999	Zakon Kamennih Djunglei	Закон каменных джунглей	Continuing	3/16/2015	ТНТ	2	16	9.5	TBD	TBD	TBD
60	71985	tt0330958	16207	Taboo	Табу	Ended	2/1/2003	National Geographic (US)	10	122	7.7	TBD	TBD	TBD
61	311790	tt5164196	199737	Lethal Weapon	Смертельное оружие	Continuing	9/21/2016	FOX (US)	3	47	8.3	TBD	TBD	TBD
62	272171		999999	Animal Kingdom	По волчьим законам	Ended	6/7/2011	ITV	1	10	0	TBD	TBD	TBD
63	85527	tt1415175	999999	Yellowstone	Йеллоустоун	Ended	3/15/2009	BBC Four	1	6	8.9	TBD	TBD	TBD
64	266189	tt2741602	183289	The Blacklist	Черный список	Continuing	9/23/2013	NBC	6	118	8.6	TBD	TBD	TBD
65	322191	tt2708480	199011	The Terror	Террор	Continuing	3/26/2018	AMC	2	11	8.3	TBD	TBD	TBD
66	300166	tt5011816	999999	Sneaky Pete	Подлый Пит	Continuing	1/12/2017	Amazon	3	24	7.3	TBD	TBD	TBD
67	350665	tt7587890	205509	The Rookie	Новобранец	Continuing		ABC (US)	1	4	0	TBD	TBD	TBD
68	300472	tt5016504	198461	Preacher	Пастырь	Continuing	5/22/2016	AMC	3	41	8.5	TBD	TBD	TBD
69	75340	tt0455275	31635	Prison Break	Побег	Continuing	8/29/2005	FOX (US)	5	95	8.5	TBD	TBD	TBD
70	328708	tt5290382	999999	MINDHUNTER	Охотник за разумом	Continuing	10/13/2017	Netflix	1	10	8.7	TBD	TBD	TBD
71	255316	tt2191671	158575	Elementary	Элементарно	Continuing	9/27/2012	CBS	6	142	8.4	TBD	TBD	TBD
72	218401	tt1830351	999999	The Magicians	Волшебники	Ended	1/1/2011	BBC One	2	11	6	TBD	TBD	TBD
73	295829	tt1740299	195470	The Man in the High Castle	Человек в высоком замке	Continuing	1/15/2015	Amazon	3	43	8	TBD	TBD	TBD
74	276678	tt3355982	999999	StartUp	Стартап	Ended	1/6/2014	BNN	1	52	0	TBD	TBD	TBD
75	329089	tt5071412	329089	Ozark	Озарк	Continuing	7/21/2017	Netflix	3	21	9.2	TBD	TBD	TBD
76	292124	tt4122068	196249	Humans	Люди	Continuing	6/14/2015	Channel 4	3	25	8.6	TBD	TBD	TBD
77	337302	tt4643084	999999	Counterpart	Обратная сторона	Continuing	12/10/2017	Starz!	2	12	8.3	TBD	TBD	TBD
78	342107	tt6510950	999999	Condor	Кондор	Continuing	6/6/2018	Audience Network	1	10	0	TBD	TBD	TBD
79	268592	tt2661044	183133	The 100	Сотня	Continuing	3/19/2014	The CW	6	73	8.3	TBD	TBD	TBD
80	176941	tt1475582	79744	Sherlock	Шерлок	Continuing	7/25/2010	BBC One	4	21	9.3	TBD	TBD	TBD
81	283468	tt2930604	194219	Star Wars Rebels	Звездные войны: Повстанцы	Ended	10/3/2014	Disney XD	4	82	8.9	TBD	TBD	TBD
82	311714	tt5555260	199860	This Is Us	Это мы	Continuing	9/20/2016	NBC	3	46	8.8	TBD	TBD	TBD
83	269613	tt2802850	179637	Fargo	Фарго	Continuing	4/15/2014	FX (US)	3	30	9.1	TBD	TBD	TBD
84	328690	tt4604612	199903	The Alienist	Алиенист	Ended	1/22/2018	TNT (US)	1	10	8	TBD	TBD	TBD
85	164541	tt1600194	hawaii-five-0	Hawaii Five-0	Полиция Гавайев	Continuing	9/20/2010	CBS	9	203	8.1	TBD	TBD	TBD
86	306719	tt1064899	queen-of-the-south	Queen of the South	Королева юга	Continuing	6/23/2016	USA Network	3	39	9.1	TBD	TBD	TBD
87	295647	tt4474344	196068	Blindspot	Слепое пятно	Continuing	9/21/2015	NBC	4	78	8.2	TBD	TBD	TBD
88	349743	tt7472896	999999	Mr Inbetween	Посредник	Continuing		FX (US)	1	6	0	TBD	TBD	TBD
89	311954	tt5420376	999999	Riverdale	Ривердэйл	Continuing	1/26/2017	The CW	3	44	7.7	TBD	TBD	TBD
90	247897	tt1796960	80132	Homeland	Родина	Continuing	10/2/2011	Showtime	7	86	8.3	TBD	TBD	TBD
91	73282	tt0054531	225	The Defenders	Защитники	Ended	9/16/1961	CBS	4	136	0	TBD	TBD	TBD
92	281534	tt3952222	193927	Killjoys	Киллджойс	Continuing	6/19/2015	Syfy	5	48	8	TBD	TBD	TBD
93	326866	tt6048596	999999	The Sinner	Грешница	Continuing	8/2/2017	USA Network	2	16	7.9	TBD	TBD	TBD
94	253573	tt1898069	196476	American Gods	Американские боги	Continuing	4/30/2017	Starz!	1	8	8.3	TBD	TBD	TBD
